Lake,Core,Period,Species,Conc.copies.uL.,DNA.total.conc
Pounui,Nearshore,European,Perca fluviatilis,0.06,10.7
Pounui,Nearshore,European,Perca fluviatilis,0,11.8
Pounui,Nearshore,European,Perca fluviatilis,0.11,10.2
Pounui,Nearshore,European,Perca fluviatilis,0.06,9.29
Pounui,Nearshore,European,Perca fluviatilis,0,7.55
Pounui,Nearshore,European,Perca fluviatilis,0.11,6.59
Pounui,Nearshore,European,Perca fluviatilis,0.11,8.03
Pounui,Nearshore,European,Perca fluviatilis,0.13,6.67
Pounui,Nearshore,Maori,Perca fluviatilis,0,8.2
Pounui,Nearshore,Maori,Perca fluviatilis,0,6.09
Pounui,Nearshore,Maori,Perca fluviatilis,0,4.68
Pounui,Nearshore,Maori,Perca fluviatilis,0,3.55
Pounui,Nearshore,Maori,Perca fluviatilis,0,2.98
Pounui,Nearshore,Maori,Perca fluviatilis,0,2.31
Pounui,Nearshore,Prehuman,Perca fluviatilis,0,1.84
Pounui,Nearshore,Prehuman,Perca fluviatilis,0,1.69
Pounui,Nearshore,Prehuman,Perca fluviatilis,0,1.95
Pounui,Nearshore,Prehuman,Perca fluviatilis,0,0.005
Pounui,Nearshore,Prehuman,Perca fluviatilis,0,0.005
Pounui,Depocenter,European,Anguilla australis,0.538,52.2
Pounui,Depocenter,European,Anguilla australis,0,40
Pounui,Depocenter,European,Anguilla australis,0,40.8
Pounui,Depocenter,European,Anguilla australis,0.06,48.3
Pounui,Depocenter,European,Anguilla australis,0,37.6
Pounui,Depocenter,European,Anguilla australis,0,32.4
Pounui,Depocenter,European,Anguilla australis,0.06,30.7
Pounui,Depocenter,European,Anguilla australis,0.061,27.5
Pounui,Depocenter,European,Anguilla australis,0.13,23.6
Pounui,Depocenter,European,Anguilla australis,0.07,24.8
Pounui,Depocenter,European,Anguilla australis,0.063,27.8
Pounui,Depocenter,European,Anguilla australis,0.06,22.8
Pounui,Depocenter,European,Anguilla australis,0,18.1
Pounui,Depocenter,European,Anguilla australis,0,18.4
Pounui,Depocenter,European,Anguilla australis,0,8.49
Pounui,Depocenter,European,Anguilla australis,0.066,9.97
Pounui,Depocenter,European,Anguilla australis,0,6.71
Pounui,Depocenter,European,Anguilla australis,0,7.56
Pounui,Depocenter,European,Anguilla australis,0.123,10.3
Pounui,Depocenter,Maori,Anguilla australis,0.11,10.6
Pounui,Depocenter,Maori,Anguilla australis,0.06,5.52
Pounui,Depocenter,Maori,Anguilla australis,0.069,3.44
Pounui,Depocenter,Maori,Anguilla australis,0,2.68
Pounui,Depocenter,Maori,Anguilla australis,0,2.52
Pounui,Depocenter,Prehuman,Anguilla australis,0,4.8
Pounui,Depocenter,Prehuman,Anguilla australis,0,4.8
Pounui,Depocenter,Prehuman,Anguilla australis,0,4.69
Pounui,Depocenter,Prehuman,Anguilla australis,0,2.96
Pounui,Depocenter,Prehuman,Anguilla australis,0,2.06
Pounui,Depocenter,Prehuman,Anguilla australis,0,4.53
Pounui,Nearshore,European,Anguilla australis,0.238,60.4
Pounui,Nearshore,European,Anguilla australis,0.49,62.7
Pounui,Nearshore,European,Anguilla australis,0.237,53.5
Pounui,Nearshore,European,Anguilla australis,0.62,37.9
Pounui,Nearshore,European,Anguilla australis,0,27.7
Pounui,Nearshore,European,Anguilla australis,0.12,22.3
Pounui,Nearshore,European,Anguilla australis,0.16,19.9
Pounui,Nearshore,European,Anguilla australis,0.6,14.1
Pounui,Nearshore,European,Anguilla australis,0.254,8.84
Pounui,Nearshore,European,Anguilla australis,0.14,15.8
Pounui,Nearshore,European,Anguilla australis,0,9.75
Pounui,Nearshore,European,Anguilla australis,0.07,10.7
Pounui,Nearshore,European,Anguilla australis,0.065,11.8
Pounui,Nearshore,European,Anguilla australis,0,10.2
Pounui,Nearshore,European,Anguilla australis,0,9.29
Pounui,Nearshore,European,Anguilla australis,0,7.55
Pounui,Nearshore,European,Anguilla australis,0.07,6.59
Pounui,Nearshore,European,Anguilla australis,0,8.03
Pounui,Nearshore,European,Anguilla australis,0.145,6.67
Pounui,Nearshore,Maori,Anguilla australis,0,8.2
Pounui,Nearshore,Maori,Anguilla australis,0.18,6.09
Pounui,Nearshore,Maori,Anguilla australis,0,4.68
Pounui,Nearshore,Maori,Anguilla australis,0,3.55
Pounui,Nearshore,Maori,Anguilla australis,0,2.98
Pounui,Nearshore,Maori,Anguilla australis,0,2.31
Pounui,Nearshore,Prehuman,Anguilla australis,0,1.84
Pounui,Nearshore,Prehuman,Anguilla australis,0.11,1.69
Pounui,Nearshore,Prehuman,Anguilla australis,0,1.95
Pounui,Nearshore,Prehuman,Anguilla australis,0,0.005
Pounui,Nearshore,Prehuman,Anguilla australis,0,0.005
