Lake,Core,Time_median,Period,Species,Copies.DNA ng
Pounui,Nearshore,1868,European,Anguilla australis,0
Pounui,Nearshore,1862,European,Anguilla australis,0.044685487
Pounui,Nearshore,1857,European,Anguilla australis,0
Pounui,Nearshore,1851,European,Anguilla australis,0.095789013
Pounui,Nearshore,1823,Maori,Anguilla australis,0
Pounui,Nearshore,1749,Maori,Anguilla australis,0.127457862
Pounui,Nearshore,1702,Maori,Anguilla australis,0
Pounui,Nearshore,1599,Maori,Anguilla australis,0
Pounui,Nearshore,1495,Maori,Anguilla australis,0
Pounui,Nearshore,1445,Maori,Anguilla australis,0
Pounui,Nearshore,1336,Prehuman,Anguilla australis,0
Pounui,Nearshore,1282,Prehuman,Anguilla australis,0.286128018
Pounui,Nearshore,1137,Prehuman,Anguilla australis,0
Pounui,Nearshore,907,Prehuman,Anguilla australis,0
Pounui,Nearshore,731,Prehuman,Anguilla australis,0
Pounui,Nearshore,2021,European,Echyridella menziesii,0.60150999
Pounui,Nearshore,2019,European,Echyridella menziesii,0.271888811
Pounui,Nearshore,2018,European,Echyridella menziesii,0.026895289
Pounui,Nearshore,2016,European,Echyridella menziesii,0
Pounui,Nearshore,2014,European,Echyridella menziesii,0
Pounui,Nearshore,2007,European,Echyridella menziesii,0
Pounui,Nearshore,1999,European,Echyridella menziesii,0
Pounui,Nearshore,1991,European,Echyridella menziesii,0.041120143
Pounui,Nearshore,1976,European,Echyridella menziesii,0.078058786
Pounui,Nearshore,1964,European,Echyridella menziesii,0.049597277
Pounui,Nearshore,1903,European,Echyridella menziesii,0
Pounui,Nearshore,1897,European,Echyridella menziesii,0.236244896
Pounui,Nearshore,1888,European,Echyridella menziesii,0.311673244
Pounui,Nearshore,1880,European,Echyridella menziesii,0.46301793
Pounui,Nearshore,1874,European,Echyridella menziesii,0.260165224
Pounui,Nearshore,1868,European,Echyridella menziesii,0.414926927
Pounui,Nearshore,1862,European,Echyridella menziesii,0.1850029
Pounui,Nearshore,1857,European,Echyridella menziesii,0.260353878
Pounui,Nearshore,1851,European,Echyridella menziesii,0.182543225
Pounui,Nearshore,1823,Maori,Echyridella menziesii,0.049267319
Pounui,Nearshore,1749,Maori,Echyridella menziesii,0.382221968
Pounui,Nearshore,1702,Maori,Echyridella menziesii,0.174331882
Pounui,Nearshore,1599,Maori,Echyridella menziesii,0.237551225
Pounui,Nearshore,1495,Maori,Echyridella menziesii,0
Pounui,Nearshore,1445,Maori,Echyridella menziesii,0.470528621
Pounui,Nearshore,1336,Prehuman,Echyridella menziesii,0.218018073
Pounui,Nearshore,1282,Prehuman,Echyridella menziesii,0.214915663
Pounui,Nearshore,1137,Prehuman,Echyridella menziesii,0
Pounui,Nearshore,907,Prehuman,Echyridella menziesii,0
Pounui,Nearshore,731,Prehuman,Echyridella menziesii,0
Pounui,Nearshore,2021,European,Perca fluviatilis,0.460135589
Pounui,Nearshore,2019,European,Perca fluviatilis,0.039589208
Pounui,Nearshore,2018,European,Perca fluviatilis,0.036901779
Pounui,Nearshore,2016,European,Perca fluviatilis,0.046902124
Pounui,Nearshore,2014,European,Perca fluviatilis,0.03540104
Pounui,Nearshore,2007,European,Perca fluviatilis,0.071911006
Pounui,Nearshore,1999,European,Perca fluviatilis,0.057901872
Pounui,Nearshore,1991,European,Perca fluviatilis,0.055713724
Pounui,Nearshore,1976,European,Perca fluviatilis,0.088734476
Pounui,Nearshore,1964,European,Perca fluviatilis,0.04359127
Pounui,Nearshore,1903,European,Perca fluviatilis,0.062638041
Pounui,Nearshore,1897,European,Perca fluviatilis,0.023528551
Pounui,Nearshore,1888,European,Perca fluviatilis,0
Pounui,Nearshore,1880,European,Perca fluviatilis,0.046380652
Pounui,Nearshore,1874,European,Perca fluviatilis,0.028417653
Pounui,Nearshore,1868,European,Perca fluviatilis,0
Pounui,Nearshore,1862,European,Perca fluviatilis,0.071807649
Pounui,Nearshore,1857,European,Perca fluviatilis,0.062873441
Pounui,Nearshore,1851,European,Perca fluviatilis,0.085757121
Pounui,Nearshore,1823,Maori,Perca fluviatilis,0
Pounui,Nearshore,1749,Maori,Perca fluviatilis,0
Pounui,Nearshore,1702,Maori,Perca fluviatilis,0
Pounui,Nearshore,1599,Maori,Perca fluviatilis,0
Pounui,Nearshore,1495,Maori,Perca fluviatilis,0
Pounui,Nearshore,1445,Maori,Perca fluviatilis,0
Pounui,Nearshore,1336,Prehuman,Perca fluviatilis,0
Pounui,Nearshore,1282,Prehuman,Perca fluviatilis,0
Pounui,Nearshore,1137,Prehuman,Perca fluviatilis,0
Pounui,Nearshore,907,Prehuman,Perca fluviatilis,0
Pounui,Nearshore,731,Prehuman,Perca fluviatilis,0
